Algorithm Caltech36 Reed98 CE-GN CE-PG beause mbeaflw
RegularizedGreedy 0.928 0.929 0.984 0.990 0.962 0.966
StochasticSWOR 0.929 0.927 0.958 0.962 0.959 0.975
PoissonOCS 0.929 0.926 0.957 0.960 0.958 0.974
MinDegree 0.879 0.873 0.948 0.955 0.952 0.975
Balance-SWOR 0.874 0.873 0.943 0.950 0.943 0.971
Balance-OCS 0.871 0.870 0.942 0.949 0.942 0.970
Ranking 0.859 0.859 0.934 0.944 0.936 0.966
HeauplerEtAl 0.829 0.829 0.837 0.860 0.809 0.797
TopHalfSampling 0.800 0.799 0.817 0.838 0.810 0.811
CorrelatedSampling 0.786 0.785 0.809 0.836 0.780 0.771
ManshadiEtAl 0.786 0.785 0.809 0.836 0.780 0.771
BrubachEtAl 0.795 0.795 0.797 0.822 0.775 0.764
JailletLu 0.795 0.796 0.798 0.822 0.768 0.758
JailletLuNonInt 0.773 0.773 0.789 0.816 0.763 0.754
BahmaniKapralov 0.772 0.771 0.773 0.803 0.746 0.737
FeldManEtAl 0.766 0.766 0.771 0.801 0.742 0.737
