Algorithm Caltech36 Reed98 CE-GN CE-PG beause mbeaflw
RegularizedGreedy 0.015 0.013 0.014 0.020 0.016 0.015
StochasticSWOR 0.015 0.013 0.014 0.019 0.017 0.015
PoissonOCS 0.015 0.013 0.013 0.019 0.017 0.015
MinDegree 0.017 0.015 0.014 0.019 0.018 0.016
Balance-SWOR 0.015 0.014 0.014 0.019 0.018 0.016
Balance-OCS 0.015 0.014 0.014 0.019 0.018 0.016
Ranking 0.015 0.013 0.014 0.019 0.018 0.016
HeauplerEtAl 0.013 0.012 0.011 0.015 0.015 0.015
TopHalfSampling 0.013 0.012 0.011 0.015 0.014 0.013
CorrelatedSampling 0.013 0.012 0.011 0.015 0.015 0.015
ManshadiEtAl 0.013 0.012 0.011 0.015 0.015 0.015
BrubachEtAl 0.014 0.012 0.011 0.014 0.016 0.015
JailletLu 0.014 0.012 0.011 0.014 0.016 0.015
JailletLuNonInt 0.014 0.012 0.011 0.014 0.016 0.015
BahmaniKapralov 0.014 0.012 0.010 0.014 0.016 0.015
FeldManEtAl 0.014 0.012 0.010 0.014 0.016 0.015
